"","Q6.2","Q6.3","Q6.4","Q6.5","Q6.6","Q6.7","Q6.10","Q2.1","Q2.2","Q2.3","Q2.4","Q2.5","AgeNum","Q6.8_10_aggregated","Q6.9_agg"
"49",1992,"Yes to some extent","No","No","White or Caucasian","Yes","No","Junior Faculty","University","United Kingdom","British","2",31,"Straight","Man"
"50",1987,"Yes to some extent","Yes","No","White or Caucasian","No","No","Post Doc","University","Ireland","Israeli","4",36,"Straight","Woman"
"51",1974,"Yes to some extent","No","Yes","Hispanic or Latinx","Yes","No","Senior Faculty","University","United Kingdom","N/A","2",49,"Straight","Woman"
"52",1990,"No","No","No","White or Caucasian","No","No","Post Doc","Research Institute","Germany","German","3",33,"Straight","Man"
"53",1991,"Yes to some extent","Yes","No","Do not know","Yes","No","Student","University","United States","Greek","1",32,"Bisexual","Woman"
"54",1982,"No","No","No","White or Caucasian","No","No","Senior Faculty","University","Netherlands","American","2",41,"Straight","Man"
"55",1980,"No","No","No","White or Caucasian","No","No","Senior Faculty","University","Netherlands","Dutch","0",43,"Straight","Woman"
"56",1962,"No","No","No","White or Caucasian","No","No","Senior Faculty","University","United States","American","3",61,"Bisexual","Man"
"57",1979,"No","No","No","White or Caucasian","No","No","Senior Faculty","University","United Kingdom","Dutch","1",44,"Straight","Woman"
"58",1990,"No","No","No","White or Caucasian","Yes","No","Post Doc","University","Germany","German","5",33,"Straight","Man"
"59",1988,"Yes to some extent","No","No","White or Caucasian","No","No","Post Doc","University","Germany","German","6",35,"Other","Man"
"60",1988,"No","No","No","White or Caucasian","Yes","No","Junior Faculty","University","Denmark","Danish","1",35,"Straight","Man"
"61",1970,"No","No","No","White or Caucasian","No","N/A","Senior Faculty","University","United States","OtherEU","5",53,"N/A","N/A"
"62",1995,"No","No","No","White or Caucasian","No","No","Student","University","Germany","Italian","1",28,"Bisexual","Woman"
"63",1986,"Yes a lot","Yes","No","White or Caucasian","No","No","Senior Faculty","University","United Kingdom","German","10",37,"Straight","Woman"
"64",1983,"No","No","No","White or Caucasian","No","No","Junior Faculty","University","United States","Other","10",40,"Straight","Woman"
"65",1988,"No","No","No","White or Caucasian","Yes","No","Junior Faculty","University","United Kingdom","Italian","3",35,"Straight","Woman"
"66",1982,"No","No","No","White or Caucasian","Yes","No","Senior Faculty","University","Netherlands","Italian","1",41,"Straight","Woman"
"67",1996,"No","No","No","White or Caucasian","No","No","Student","University","Italy","French","0",27,"Straight","Man"
"68",1983,"No","No","No","White or Caucasian","No","No","Senior Faculty","University","Switzerland","Swiss","8",40,"Straight","Man"
"69",1996,"No","No","No","White or Caucasian","Yes","No","Researcher","Research Institute","Germany","Austrian","1",27,"Straight","Man"
"70",NA,"No","No","No","White or Caucasian","Yes","No","Post Doc","University","Spain","OtherEU","4",NA,"N/A","Woman"
"71",1977,"N/A","Yes","Yes","N/A","N/A","N/A","Senior Faculty","University","United States","American","5",46,"N/A","N/A"
"72",1987,"No","No","No","White or Caucasian","Yes","No","Post Doc","University","Austria","French","0",36,"Straight","Man"
"73",1995,"Yes to some extent","No","No","White or Caucasian","No","No","Student","University","Germany","German","0",28,"Straight","Man"
"74",1986,"No","No","Yes","Asian or Pacific Islander","No","No","Junior Faculty","University","United Kingdom","Pakistani","0",37,"Straight","Woman"
"75",1973,"No","No","No","White or Caucasian","Yes","No","Senior Faculty","University","Ireland","Ireland","9",50,"Straight","Woman"
"76",1993,"No","No","No","White or Caucasian","No","No","Junior Faculty","University","Netherlands","Dutch","0",30,"Straight","Man"
"77",NA,"No","No","No","White or Caucasian","No","No","Senior Faculty","University","Germany","N/A","14",NA,"N/A","Man"
"78",1991,"No","No","No","White or Caucasian","Yes","No","Researcher","Research Institute","Germany","German","2",32,"Straight","Man"
"79",1988,"No","No","No","White or Caucasian","Yes","No","Post Doc","University","Norway","Swiss","1",35,"Straight","Woman"
"80",1967,"No","No","No","White or Caucasian","No","No","Senior Faculty","University","Netherlands","German","8",56,"Straight","Man"
"81",1986,"No","No","No","White or Caucasian","No","No","Senior Faculty","University","United Kingdom","American","4",37,"Gay","Man"
"82",1957,"No","No","No","White or Caucasian","No","No","Senior Faculty","University","Norway","American","14",66,"Straight","Man"
"83",NA,"No","No","No","White or Caucasian","No","No","Senior Faculty","University","United Kingdom","Italian","7",NA,"Straight","N/A"
"84",1987,"Yes to some extent","No","Yes","A race/ethnicity not listed here","No","No","Junior Faculty","University","United Kingdom","Pakistani","4",36,"Straight","Woman"
"85",1987,"No","No","No","White or Caucasian","No","No","Junior Faculty","University","United States","German","4",36,"Straight","Man"
"86",1978,"No","No","No","White or Caucasian","Yes","No","Senior Faculty","University","United Kingdom","N/A","9",45,"Straight","Man"
"87",1993,"No","No","No","White or Caucasian","No","No","Student","University","Switzerland","German","0",30,"Straight","Man"
"88",1980,"No","No","No","White or Caucasian","No","No","Senior Faculty","University","United States","American","0",43,"Straight","Woman"
"89",1983,"No","No","No","White or Caucasian","No","No","Post Doc","University","Germany","German","2",40,"Straight","Other"
"90",1983,"No","No","Yes","Hispanic or Latinx","No","No","Post Doc","University","Switzerland","Other","1",40,"Straight","Woman"
"91",1969,"No","No","No","White or Caucasian","Yes","No","Senior Faculty","University","United States","American","2",54,"Straight","Woman"
"92",1982,"No","No","No","White or Caucasian","No","No","Senior Faculty","University","Austria","Austrian","6",41,"Straight","Man"
"93",1990,"No","No","Yes","Asian or Pacific Islander","No","No","Junior Faculty","University","Other","Chinese","0",33,"N/A","Man"
"94",1972,"No","No","No","White or Caucasian","No","No","Senior Faculty","University","Switzerland","Swiss","10",51,"Straight","Woman"
"95",1997,"No","No","No","White or Caucasian","No","No","Student","University","Germany","German","0",26,"Straight","Woman"
"96",1990,"Do not know","No","No","White or Caucasian","Yes","No","Researcher","University","Germany","Greek","0",33,"Straight","Man"
"97",1994,"No","No","No","White or Caucasian","No","No","Junior Faculty","University","United Kingdom","British","3",29,"Straight","Man"
"98",1995,"No","No","No","White or Caucasian","No","No","Student","University","Sweden","German","0",28,"Bisexual","Woman"
"99",1982,"No","No","No","White or Caucasian","Yes","No","Junior Faculty","University","Israel","Israeli","4",41,"Straight","Woman"
"100",1990,"No","N/A","Yes","Asian or Pacific Islander","No","No","Junior Faculty","University","United States","South Korean","2",33,"Straight","Woman"
"101",1977,"No","No","No","White or Caucasian","Yes","No","Senior Faculty","University","United Kingdom","British","10",46,"Straight","Woman"
"102",1970,"No","No","No","White or Caucasian","No","No","Senior Faculty","University","United States","American","6",53,"Straight","Man"
"103",1996,"Do not know","No","Yes","Asian or Pacific Islander","No","No","Student","University","United Kingdom","Chinese","1",27,"Straight","Man"
"104",1965,"No","No","No","White or Caucasian","Yes","No","Senior Faculty","University","United Kingdom","Canadian","13",58,"Straight","Man"
"105",1990,"No","No","No","White or Caucasian","No","No","Post Doc","University","Norway","OtherEU","0",33,"Straight","Man"
"106",1984,"No","No","No","White or Caucasian","No","No","Senior Faculty","University","Denmark","German","1",39,"Straight","Man"
"107",1987,"No","No","No","White or Caucasian","Yes","No","Senior Faculty","University","United Kingdom","German","3",36,"Straight","Man"
"108",1992,"No","No","No","White or Caucasian","Yes","No","Post Doc","University","Spain","Spanish","3",31,"Straight","Man"
"109",1993,"No","No","No","White or Caucasian","No","No","Student","University","Germany","German","0",30,"Bisexual","Woman"
"110",1994,"No","No","No","White or Caucasian","Yes","No","Student","University","Switzerland","Swiss","1",29,"Straight","Man"
"111",NA,"Yes to some extent","No","No","White or Caucasian","No","Yes","Post Doc","University","Switzerland","German","2",NA,"Other","Other"
"112",1994,"No","No","No","White or Caucasian","Yes","No","Student","University","Germany","German","1",29,"Straight","Man"
"113",1999,"No","No","No","White or Caucasian","Yes","No","Student","University","United Kingdom","German","2",24,"Straight","Woman"
"114",1975,"No","No","No","White or Caucasian","No","No","Senior Faculty","University","United States","American","10",48,"Straight","Woman"
"115",1973,"No","No","No","Hispanic or Latinx","No","No","Junior Faculty","University","Spain","Spanish","4",50,"N/A","Man"
"116",1987,"No","No","No","White or Caucasian","No","No","Post Doc","University","Germany","German","0",36,"Straight","Woman"
"117",1983,"Yes to some extent","No","No","White or Caucasian","No","No","Post Doc","University","United Kingdom","American","4",40,"Straight","Woman"
"118",1987,"Yes to some extent","Do not know","Yes","Asian or Pacific Islander","No","No","Junior Faculty","University","Germany","Other","6",36,"Bisexual","Woman"
"119",1985,"No","No","No","White or Caucasian","No","No","Junior Faculty","University","Germany","German","4",38,"Straight","Man"
"120",1976,"No","No","No","White or Caucasian","Do not know","No","Senior Faculty","University","United Kingdom","N/A","1",47,"N/A","Man"
"121",1988,"No","No","No","White or Caucasian","No","No","Junior Faculty","University","United Kingdom","British","3",35,"Straight","Woman"
"122",1993,"No","No","No","N/A","Yes","No","Post Doc","Research Institute","Germany","German","2",30,"N/A","Man"
"123",1982,"No","No","No","White or Caucasian","Yes","No","Junior Faculty","University","Turkey","Turkish","1",41,"Straight","Man"
"124",1979,"No","No","Yes","Asian or Pacific Islander","No","No","Junior Faculty","University","Ireland","South Korean","0",44,"Straight","Woman"
"125",1982,"No","No","No","White or Caucasian","No","No","Junior Faculty","University","Israel","Israeli","2",41,"Straight","Man"
"126",NA,"No","No",NA,"N/A","N/A","Yes","Post Doc","University","Ireland","South Korean","0",NA,"N/A","Man"
"127",1978,"No","No","No","White or Caucasian","No","No","Senior Faculty","University","United Kingdom","Swiss","11",45,"Straight","Man"
"128",1989,"No","No","No","A race/ethnicity not listed here","Yes","No","Researcher","University","Germany","German","2",34,"Straight","Man"
"129",1990,"Yes to some extent","Yes","No","White or Caucasian","No","No","Post Doc","University","Switzerland","Swiss","2",33,"Straight","Man"
"130",1989,"No","No","No","White or Caucasian","Yes","No","Post Doc","University","Switzerland","German","3",34,"Straight","Man"
"131",NA,"No","No","No","Do not know","No","Do not know","Senior Faculty","University","Spain","Spanish","2",NA,"Other","Other"
"132",NA,"No","No",NA,"N/A","No","No","N/A","University","Germany","N/A","4",NA,"N/A","N/A"
"133",1979,"No","No",NA,"N/A","No","N/A","Junior Faculty","University","United States","American","3",44,"N/A","N/A"
"134",1994,"Yes to some extent","Yes",NA,"White or Caucasian","Yes","Do not know","Post Doc","University","OtherEU","OtherEU","0",29,"Other","Other"
"135",1991,"No","No","No","White or Caucasian","No","No","Junior Faculty","University","United Kingdom","British","0",32,"Straight","Woman"
"136",1996,"No","No","No","White or Caucasian","No","No","Student","University","Germany","German","0",27,"Straight","Man"
"137",NA,"N/A","N/A",NA,"N/A","N/A","N/A","Post Doc","Research Institute","Other","Other","N/A",NA,"N/A","N/A"
"138",2004,"Do not know","Do not know",NA,"N/A","N/A","N/A","Senior Faculty","Research Institute","OtherEU","Albanian","1",19,"N/A","N/A"
"139",NA,"N/A","N/A",NA,"N/A","N/A","N/A","Senior Faculty","University","Belgium","OtherEU","3",NA,"N/A","N/A"
"140",NA,"N/A","N/A",NA,"N/A","N/A","N/A","Student","University","Other","Other","0",NA,"N/A","N/A"
"141",1989,"Yes to some extent","No","No","White or Caucasian","Yes","No","Researcher","University","Switzerland","Swiss","5",34,"N/A","Man"
"142",1989,"No","No","No","White or Caucasian","No","No","Junior Faculty","University","United Kingdom","British","2",34,"Straight","Woman"
"143",1969,"No","No","No","White or Caucasian","Yes","N/A","Senior Faculty","University","Italy","Italian","13",54,"N/A","Man"
"144",1986,"No","No","No","White or Caucasian","Do not know","No","Researcher","Research Institute","France","French","0",37,"Straight","Man"
"145",1988,"No","No","No","White or Caucasian","No","No","Junior Faculty","University","United Kingdom","German","0",35,"Straight","Woman"
"146",1986,"Yes to some extent","Yes","No","White or Caucasian","No","No","Junior Faculty","University","United States","American","3",37,"Bisexual","Woman"
"147",1981,"No","No","No","White or Caucasian","Yes","No","Senior Faculty","University","Germany","German","12",42,"Straight","Woman"
"148",1987,"No","No","No","White or Caucasian","No","No","Junior Faculty","University","United Kingdom","British","3",36,"Straight","Man"
"149",1983,"No","No","No","White or Caucasian","Yes","No","Senior Faculty","University","Germany","German","5",40,"Gay","Man"
"150",1984,"No","No","No","White or Caucasian","No","No","Junior Faculty","University","Germany","German","6",39,"Straight","Man"
"151",1977,"No","No","No","White or Caucasian","Yes","No","Senior Faculty","University","Switzerland","Swiss","10",46,"Straight","Man"
"152",1984,"No","No","No","White or Caucasian","Yes","No","Senior Faculty","University","Denmark","Danish","1",39,"Straight","Man"
"153",NA,"No","No","No","Hispanic or Latinx","No","No","Researcher","Research Institute","Italy","Spanish","2",NA,"Bisexual","Woman"
"154",1982,"N/A","No","No","White or Caucasian","No","No","Post Doc","University","Germany","German","1",41,"N/A","Man"
"155",1990,"No","No","Yes","Multiracial or Biracial","Yes","No","Researcher","University","Germany","German","6",33,"Straight","Man"
"156",1988,"No","No","No","Hispanic or Latinx","No","No","Junior Faculty","University","Spain","Spanish","3",35,"Straight","Woman"
"157",1979,"Yes to some extent","No","No","White or Caucasian","Yes","No","Senior Faculty","University","Germany","German","8",44,"Straight","Man"
"158",1992,"No","No","No","White or Caucasian","Yes","No","Post Doc","University","Italy","Italian","1",31,"Straight","Man"
"159",1970,"No","No","Do not know","White or Caucasian","No","No","Senior Faculty","University","United States","N/A","10",53,"N/A","Woman"
"160",1983,"No","No","No","White or Caucasian","Yes","No","Senior Faculty","University","United Kingdom","German","5",40,"Straight","Man"
"161",1994,"No","No","No","White or Caucasian","No","No","Post Doc","University","Switzerland","Swiss","0",29,"Straight","Woman"
"162",NA,"No","No","No","White or Caucasian","Yes","No","Junior Faculty","University","Canada","N/A","4",NA,"Straight","Woman"
"163",1988,"No","No","No","White or Caucasian","Do not know","No","Researcher","University","Germany","German","2",35,"Straight","Man"
"164",1983,"No","No","No","Hispanic or Latinx","Yes","No","Post Doc","University","Spain","Other","2",40,"Straight","Woman"
"165",1992,"No","No","No","White or Caucasian","No","No","Researcher","University","Germany","German","0",31,"Straight","Man"
"166",1968,"No","No","No","White or Caucasian","Yes","No","Senior Faculty","University","Germany","German","11",55,"Straight","Man"
"167",1987,"No","No","No","White or Caucasian","Yes","No","Post Doc","University","Switzerland","German","5",36,"Straight","Man"
"168",1996,"No","No","No","White or Caucasian","No","No","Student","University","Germany","German","0",27,"Straight","Woman"
"169",1988,"No","No","No","White or Caucasian","No","No","Post Doc","University","Germany","German","3",35,"Straight","Man"
"170",1995,"No","No","No","White or Caucasian","Yes","No","Student","University","Germany","German","0",28,"Straight","Woman"
"171",1985,"No","No","No","White or Caucasian","No","No","Junior Faculty","University","United Kingdom","American","2",38,"Straight","Man"
"172",1991,"No","No","No","White or Caucasian","No","No","Student","Research Institute","Germany","German","0",32,"Straight","Woman"
"173",1981,"No","No","No","White or Caucasian","Yes","No","Junior Faculty","University","Spain","Spanish","6",42,"Straight","Man"
"174",1985,"No","No","No","White or Caucasian","No","No","Post Doc","University","United Kingdom","OtherEU","2",38,"Straight","Man"
"175",NA,"N/A","N/A",NA,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,"N/A","N/A"
"176",1989,"No","No","No","White or Caucasian","No","No","Junior Faculty","University","Germany","German","3",34,"N/A","Woman"
"177",1989,"No","No","No","White or Caucasian","No","No","Post Doc","University","Germany","German","1",34,"Straight","Woman"
"178",1992,"No","No","No","White or Caucasian","No","No","Student","University","Italy","Polish","2",31,"Straight","Man"
"179",1992,"Yes to some extent","N/A","No","White or Caucasian","No","No","Junior Faculty","University","Ireland","German","8",31,"Straight","Man"
"180",1986,"No","No","No","Asian or Pacific Islander","No","No","Post Doc","Research Institute","Other","Other","3",37,"Straight","Man"
"181",1993,"Yes to some extent","No","No","White or Caucasian","No","No","Student","University","Belgium","Dutch","1",30,"Bisexual","Woman"
"182",NA,"Yes to some extent","No","No","White or Caucasian","Yes","No","Junior Faculty","University","United Kingdom","Canadian","1",NA,"Straight","Man"
"183",1994,"No","No","No","White or Caucasian","Yes","No","Researcher","Research Institute","Germany","German","1",29,"Straight","Woman"
"184",1983,"No","No","No","White or Caucasian","Yes","No","Senior Faculty","University","Other","German","0",40,"Bisexual","Woman"
"185",1994,"No","No","No","White or Caucasian","No","No","Student","University","Germany","German","0",29,"Bisexual","Woman"
"186",1989,"No","No","No","White or Caucasian","Yes","No","Student","University","Germany","German","0",34,"Straight","Woman"
"187",NA,"N/A","N/A",NA,"N/A","N/A","N/A","Student","Research Institute","Germany","German","N/A",NA,"N/A","N/A"
"188",1996,"No","No","No","White or Caucasian","Do not know","No","N/A","University","Italy","Italian","0",27,"Straight","Man"
"189",1994,"No","No","No","White or Caucasian","No","No","Student","University","Italy","Italian","2",29,"Straight","Woman"
"190",1962,"No","No","No","White or Caucasian","No","No","Senior Faculty","University","United States","American","4",61,"Straight","Man"
"191",NA,"No","No","No","White or Caucasian","Yes","No","Junior Faculty","University","Ireland","N/A","11",NA,"Straight","Man"
"192",NA,"N/A","N/A",NA,"N/A","N/A","N/A","Senior Faculty","University","Switzerland","American","12",NA,"N/A","N/A"
"193",NA,"N/A","N/A",NA,"N/A","N/A","N/A","Senior Faculty","University","United States","American","2",NA,"N/A","N/A"
"194",NA,"N/A","N/A",NA,"N/A","N/A","N/A","Researcher","University","Germany","German","N/A",NA,"N/A","N/A"
"195",NA,"N/A","N/A",NA,"N/A","N/A","N/A","Student","University","Germany","German","3",NA,"N/A","N/A"
"196",1988,"No","No","No","White or Caucasian","Yes","No","Post Doc","University","Germany","German","5",35,"N/A","Woman"
"197",NA,"N/A","N/A",NA,"N/A","N/A","N/A","Senior Faculty","University","United Kingdom","Dutch","N/A",NA,"N/A","N/A"
"198",1984,"No","No","No","White or Caucasian","No","No","Post Doc","Research Institute","Germany","German","1",39,"Straight","Woman"
"199",NA,"N/A","N/A",NA,"N/A","N/A","N/A","Junior Faculty","University","N/A","N/A","3",NA,"N/A","N/A"
"200",1985,"No","No","No","White or Caucasian","Yes","No","Junior Faculty","University","Norway","German","7",38,"Straight","Man"
"201",1985,"No","No","Yes","Asian or Pacific Islander","No","No","Junior Faculty","University","United Kingdom","N/A","0",38,"Straight","Woman"
"202",NA,"N/A","N/A",NA,"N/A","N/A","N/A","Researcher","University","Germany","Turkish","N/A",NA,"N/A","N/A"
"203",NA,"N/A","N/A",NA,"N/A","N/A","N/A","Senior Faculty","University","Switzerland","Swiss","N/A",NA,"N/A","N/A"
"204",NA,"N/A","N/A",NA,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,"N/A","N/A"
"205",NA,"N/A","N/A",NA,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,"N/A","N/A"
"206",NA,"N/A","N/A",NA,"N/A","N/A","N/A","Senior Faculty","University","United States","American","N/A",NA,"N/A","N/A"
"207",NA,"N/A","N/A",NA,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,"N/A","N/A"
"208",NA,"N/A","N/A",NA,"N/A","N/A","N/A","Researcher","University","Germany","German","N/A",NA,"N/A","N/A"
"209",NA,"N/A","N/A",NA,"N/A","N/A","N/A","Student","University","United States","American","N/A",NA,"N/A","N/A"
"210",NA,"N/A","N/A",NA,"N/A","N/A","N/A","Student","University","Germany","Swiss","1",NA,"N/A","N/A"
"211",NA,"N/A","N/A",NA,"N/A","N/A","N/A","Student","University","Germany","German","1",NA,"N/A","N/A"
"212",NA,"N/A","N/A",NA,"N/A","N/A","N/A","Student","University","United Kingdom","Spanish","0",NA,"N/A","N/A"
"213",NA,"N/A","N/A",NA,"N/A","N/A","N/A","Senior Faculty","University","Denmark","Danish","N/A",NA,"N/A","N/A"
"214",1975,"No","No","No","White or Caucasian","No","No","Senior Faculty","University","Sweden","Swedish","3",48,"Straight","Man"
"215",NA,"N/A","N/A",NA,"N/A","N/A","N/A","Junior Faculty","University","United Kingdom","American","N/A",NA,"N/A","N/A"
"216",1982,"No","No","No","White or Caucasian","No","No","Researcher","Research Institute","Germany","German","10",41,"Straight","Man"
"217",NA,"N/A","N/A",NA,"N/A","N/A","N/A","Senior Faculty","University","Netherlands","Dutch","1",NA,"N/A","N/A"
"218",NA,"N/A","N/A",NA,"N/A","N/A","N/A","Junior Faculty","University","Denmark","Belgian","N/A",NA,"N/A","N/A"
"219",NA,"N/A","N/A",NA,"N/A","N/A","N/A","Senior Faculty","University","Germany","German","4",NA,"N/A","N/A"
"220",NA,"N/A","N/A",NA,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,"N/A","N/A"
"221",NA,"N/A","N/A",NA,"N/A","N/A","N/A","Post Doc","University","Other","Turkish","2",NA,"N/A","N/A"
"222",1985,"No","No","No","White or Caucasian","No","No","Junior Faculty","University","Norway","German","1",38,"Straight","Man"
"223",1982,"Yes to some extent","No","Yes","Asian or Pacific Islander","Yes","No","Post Doc","University","Sweden","American","3",41,"Straight","Woman"
"224",1992,"No","No","No","White or Caucasian","No","No","Researcher","University","Germany","German","1",31,"N/A","Man"
"225",1984,"No","No","No","Hispanic or Latinx","No","No","Junior Faculty","University","Spain","Spanish","1",39,"Straight","Man"
"226",NA,"N/A","N/A",NA,"N/A","N/A","N/A","Post Doc","University","Germany","German","0",NA,"N/A","N/A"
"227",1993,"No","No","No","White or Caucasian","No","No","Post Doc","University","United Kingdom","German","2",30,"Straight","Woman"
"228",1988,"No","No","No","White or Caucasian","Yes","No","Junior Faculty","University","Denmark","Danish","3",35,"Straight","Man"
"229",1995,"No","No","No","White or Caucasian","No","No","Student","University","Norway","Turkish","0",28,"Straight","Man"
"230",1979,"No","No",NA,"A race/ethnicity not listed here","No","No","Senior Faculty","University","Spain","French","5",44,"Other","Man"
"231",1995,"No","No","No","Hispanic or Latinx","Yes","No","Student","University","United Kingdom","Other","1",28,"Straight","Woman"
"232",1993,"No","No","No","White or Caucasian","No","No","Post Doc","University","Switzerland","German","0",30,"Straight","Man"
"233",1982,"No","No","Yes","Multiracial or Biracial","No","No","Post Doc","University","Switzerland","American","1",41,"Straight","Woman"
"234",1976,"No","No","No","White or Caucasian","No","No","Senior Faculty","University","United Kingdom","British","1",47,"Straight","Man"
"235",1984,"No","No","No","White or Caucasian","No","No","Post Doc","University","Switzerland","N/A","6",39,"Straight","Man"
